---------------------------------Server Start!!!---------------------------------2013-04-17, 05:09:11 오후
192.168.70.83, 1단계 성공.
192.168.70.87, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.70.86, 1단계 성공.
192.168.36.217, 1단계 성공.
192.168.70.70, 1단계 성공.
192.168.70.81, 1단계 성공.
192.168.35.232, 1단계 성공.
192.168.70.82, 1단계 성공.
192.168.70.74, 1단계 성공.
192.168.34.67, 1단계 성공.
192.168.35.211, 1단계 성공.
192.168.70.82, 1단계 성공.
192.168.70.83, 1단계 성공.
192.168.70.70, 1단계 성공.
192.168.70.91, 1단계 성공.
192.168.39.211, 1단계 성공.
192.168.41.114, 1단계 성공.
192.168.70.84, 1단계 성공.
192.168.70.74, 1단계 성공.
192.168.41.114, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.70, 1단계 성공.
192.168.70.81, 1단계 성공.
	192.168.70.86, 2단계 성공
192.168.70.91, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.43.180, 1단계 성공.
192.168.41.114, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.94, 1단계 성공.
192.168.35.232, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.84, 1단계 성공.
192.168.70.87, 1단계 성공.
192.168.70.94, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.34.67, 1단계 성공.
192.168.35.232, 1단계 성공.
		192.168.70.86, 3단계 성공
192.168.34.67, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.41.114, 1단계 성공.
192.168.70.91, 1단계 성공.
192.168.34.67, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.70.70, 1단계 성공.
192.168.70.94, 1단계 성공.
192.168.40.180, 1단계 성공.
192.168.41.114, 1단계 성공.
192.168.36.217, 1단계 성공.
192.168.70.83, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.34.67, 1단계 성공.
			192.168.70.86, 4단계 성공
192.168.70.94, 1단계 성공.
192.168.70.91, 1단계 성공.
192.168.70.97, 1단계 성공.
192.168.70.88, 1단계 성공.
192.168.70.70, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.68, 1단계 성공.
192.168.70.68, 1단계 성공.
192.168.70.87, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.70, 1단계 성공.
192.168.35.160, 1단계 성공.
192.168.70.68, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.43.180, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.44.132, 1단계 성공.
192.168.34.67, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.42.14, 1단계 성공.
	192.168.35.232, 2단계 성공
192.168.70.76, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.84, 1단계 성공.
192.168.70.94, 1단계 성공.
192.168.70.82, 1단계 성공.
192.168.70.83, 1단계 성공.
192.168.35.211, 1단계 성공.
192.168.70.95, 1단계 성공.
192.168.70.68, 1단계 성공.
192.168.37.49, 1단계 성공.
						********192.168.70.86, 5단계 성공********지상현,60072377
192.168.39.211, 1단계 성공.
192.168.41.114, 1단계 성공.
192.168.70.94, 1단계 성공.
192.168.36.217, 1단계 성공.
192.168.70.95, 1단계 성공.
192.168.41.114, 1단계 성공.
192.168.35.127, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.76, 1단계 성공.
		192.168.35.232, 3단계 성공
192.168.70.76, 1단계 성공.
192.168.41.114, 1단계 성공.
192.168.37.26, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.91, 1단계 성공.
192.168.70.95, 1단계 성공.
192.168.70.74, 1단계 성공.
192.168.70.85, 1단계 성공.
		192.168.35.232, 3단계 성공
192.168.70.65, 1단계 성공.
192.168.34.67, 1단계 성공.
192.168.70.97, 1단계 성공.
192.168.70.82, 1단계 성공.
192.168.35.160, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.35.160, 1단계 성공.
192.168.37.26, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.74, 1단계 성공.
192.168.70.88, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.101, 1단계 성공.
192.168.70.87, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.92, 1단계 성공.
192.168.70.84, 1단계 성공.
192.168.70.94, 1단계 성공.
192.168.44.132, 1단계 성공.
192.168.70.67, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.41.114, 1단계 성공.
	192.168.70.68, 2단계 성공
192.168.37.49, 1단계 성공.
192.168.70.65, 1단계 성공.
192.168.70.82, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.35.211, 1단계 성공.
192.168.70.65, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.74, 1단계 성공.
192.168.40.180, 1단계 성공.
192.168.42.81, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.94, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.70.101, 1단계 성공.
192.168.70.76, 1단계 성공.
192.168.70.94, 1단계 성공.
192.168.42.14, 1단계 성공.
192.168.41.114, 1단계 성공.
192.168.38.161, 1단계 성공.
192.168.70.70, 1단계 성공.
192.168.42.81, 1단계 성공.
		192.168.35.232, 3단계 성공
192.168.41.114, 1단계 성공.
	192.168.70.88, 2단계 성공
192.168.36.217, 1단계 성공.
192.168.70.94, 1단계 성공.
192.168.41.114, 1단계 성공.
192.168.42.81, 1단계 성공.
			192.168.35.232, 4단계 성공
192.168.41.114, 1단계 성공.
192.168.34.53, 1단계 성공.
192.168.70.101, 1단계 성공.
192.168.34.53, 1단계 성공.
192.168.43.180, 1단계 성공.
	192.168.35.211, 2단계 성공
192.168.70.83, 1단계 성공.
192.168.34.53, 1단계 성공.
192.168.70.94, 1단계 성공.
192.168.70.83, 1단계 성공.
192.168.70.101, 1단계 성공.
192.168.34.53, 1단계 성공.
192.168.34.53, 1단계 성공.
192.168.34.53, 1단계 성공.
192.168.34.53, 1단계 성공.
192.168.34.53, 1단계 성공.
192.168.34.67, 1단계 성공.
192.168.41.114, 1단계 성공.
192.168.70.65, 1단계 성공.
192.168.42.14, 1단계 성공.
192.168.38.161, 1단계 성공.
192.168.70.91, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.70.65, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
192.168.37.49, 1단계 성공.
